profid,profpic,avglikes,totallikes,avgreplies,totalreplies,avgretweets,totalretweets,avgquotes,totalquotes,mostusedhashtag,mostusedhashtagcount,pscore
4385,smoke_screen_uk.jpg,0.0169491525739431,1,0.0169491525739431,1,0.1016949117183685,6,0.3389830589294433,20,dummy,7722,7
8468,PremArtwork.jpg,0.4285714328289032,3,0.0,0,3.4285714626312256,24,13.428571701049805,94,dummy,2490,24
